RouteNumber,SurveyYear,intensity,onset_DOY,lat,lon
210302,2001,onset_1,159,38.61796666,-75.42016664
210702,2010,onset_1,153,38.63929997,-75.26979996
250304,2011,onset_1,107,30.6178889,-83.96727779
250406,2012,onset_1,27,30.337186863636365,-82.59244444545455
350116,2012,onset_1,72,38.41756536363636,-85.82542563636363
350116,2013,onset_1,95,38.41756536363636,-85.82542563636363
350116,2014,onset_1,90,38.41756536363636,-85.82542563636363
350511,2009,onset_1,107,39.9253503,-85.67635626363636
350511,2012,onset_1,91,39.9253503,-85.67635626363636
350610,2015,onset_1,123,40.093305,-86.07524
350814,2012,onset_1,77,38.36154682,-87.42202211
360219,2015,onset_1,128,41.422594000000004,-91.826787
360416,2010,onset_1,127,41.533127307692304,-94.40292976923077
360417,2011,onset_1,143,41.436325,-93.802854
360511,2013,onset_1,180,42.511886000000004,-92.200741
360511,2014,onset_1,148,42.511886000000004,-92.200741
440109,1999,onset_1,125,45.1276487,-69.26109770000001
440113,1998,onset_1,136,44.0358347,-70.60459279999999
440209,1998,onset_1,133,45.27699,-69.18514
440315,1999,onset_1,176,44.58528,-69.01912
440415,1998,onset_1,144,44.3579,-68.77565
440508,1998,onset_1,161,45.90384,-70.08204
440516,1997,onset_1,134,44.64649,-67.53717161538462
460107,2001,onset_1,140,38.771025,-76.617839
460107,2002,onset_1,125,38.771025,-76.617839
460107,2005,onset_1,135,38.771025,-76.617839
460307,2002,onset_1,136,38.520495,-76.116504
460405,2002,onset_1,135,39.391002,-75.914061
460501,2004,onset_1,85,39.54936,-79.230341
460508,2001,onset_1,158,38.275666,-75.304642
460508,2002,onset_1,135,38.275666,-75.304642
460604,2002,onset_1,178,39.455113,-76.450078
460703,2001,onset_1,170,39.24123,-77.093389
460703,2002,onset_1,162,39.24123,-77.093389
460703,2003,onset_1,156,39.24123,-77.093389
460704,2012,onset_1,125,39.564356000000004,-76.894608
460706,2005,onset_1,141,38.679513,-76.802226
470403,2010,onset_1,176,42.30292,-71.70318
470503,2004,onset_1,189,42.176159999999996,-71.27045
500132,2010,onset_1,137,44.8090702,-95.2820803
500133,2009,onset_1,141,44.8041306,-94.0122399
500135,2014,onset_1,145,44.4158203,-92.9047599
500180,2005,onset_1,120,44.8554496,-93.19559029999999
500180,2014,onset_1,143,44.8554496,-93.19559029999999
500215,2000,onset_1,174,47.2800401,-94.05095
500235,1999,onset_1,171,44.3929405,-92.7626296
500271,2008,onset_1,151,48.3289196,-95.93637989999999
500271,2014,onset_1,148,48.3289196,-95.93637989999999
500332,2011,onset_1,184,45.0682,-95.04821
500413,2005,onset_1,153,47.4392696,-96.7991493
500422,2011,onset_1,120,45.977569599999995,-94.0717896
500429,2000,onset_1,184,45.2083202,-93.47726060000001
500541,2003,onset_1,156,43.757738076923076,-92.00420015384616
500635,2011,onset_1,181,44.4819794,-92.3332099
500729,2014,onset_1,141,45.1944499,-93.7455886
500822,2011,onset_1,139,46.3737701,-94.19151169999999
500834,2003,onset_1,144,44.6572998,-93.5190309
501434,2010,onset_1,139,44.921609600000004,-93.4676
520118,2011,onset_1,107,37.741308,-93.822337
580107,2009,onset_1,190,42.780635,-72.42534166
580107,2011,onset_1,188,42.780635,-72.42534166
580203,2005,onset_1,156,44.382931660000004,-71.45446
580304,2003,onset_1,118,43.2949815,-72.1095919
580304,2004,onset_1,130,43.2949815,-72.1095919
580805,2001,onset_1,128,43.19711333,-71.12653667
590605,2014,onset_1,104,40.31632501,-74.10127834
591005,2014,onset_1,100,40.58611,-74.60142
591805,2014,onset_1,103,40.455083,-74.882417
591905,2012,onset_1,116,40.269806,-74.653861
592105,2005,onset_1,96,40.08854667,-74.58372167
592305,2011,onset_1,117,40.731001,-74.307556
610323,2009,onset_1,159,41.81618626363636,-73.77666023636364
610323,2013,onset_1,159,41.81618626363636,-73.77666023636364
610422,2009,onset_1,157,41.7733661,-74.1042526
610523,2012,onset_1,179,41.326251383333336,-73.88145945
610620,2009,onset_1,187,42.5420659,-73.56538789999999
610723,2009,onset_1,158,41.242291,-73.7795962
610822,2009,onset_1,165,41.6521283,-74.21555359999999
610823,2009,onset_1,158,41.33593114666667,-73.63177318666666
610823,2013,onset_1,160,41.33593114666667,-73.63177318666666
610823,2014,onset_1,188,41.33593114666667,-73.63177318666666
610920,2009,onset_1,160,42.1145,-73.638988
610920,2010,onset_1,158,42.1145,-73.638988
611122,2009,onset_1,130,41.9397776,-74.1729399
630110,2008,onset_1,56,35.1816538,-83.12262750000001
630210,2006,onset_1,54,35.1879689,-82.9597718
630211,2007,onset_1,81,35.30341226,-82.87656536
630224,2010,onset_1,112,34.6265867,-77.5917555
630224,2012,onset_1,170,34.6265867,-77.5917555
630323,2009,onset_1,163,34.22763668,-78.71849001
630510,2010,onset_1,113,35.04919444,-83.21027777
630810,2009,onset_1,58,35.330863,-83.225204
630923,2009,onset_1,120,34.4229498,-78.2102922
720111,2012,onset_1,84,40.70317968,-79.81413607
720214,2002,onset_1,148,40.07689997,-77.13228331
800107,2009,onset_1,58,34.613803759999996,-81.54751885
800407,2013,onset_1,40,34.39245822,-81.39863346
800507,2012,onset_1,139,34.62563104,-81.48450734
820403,2015,onset_1,68,36.542136,-87.17334
880104,2009,onset_1,70,38.74476,-78.04117
880110,2007,onset_1,82,37.22451,-80.292884
880319,2009,onset_1,77,36.910008,-80.43209
880417,2011,onset_1,64,36.96130556,-82.00972222
880417,2012,onset_1,74,36.96130556,-82.00972222
880417,2014,onset_1,73,36.96130556,-82.00972222
880504,2012,onset_1,79,38.28,-78.92314999999999
881113,2012,onset_1,154,37.05683334,-77.70844446
881404,2009,onset_1,68,38.8314388,-78.1241637
881404,2011,onset_1,75,38.8314388,-78.1241637
881604,2014,onset_1,75,38.24847,-78.59603
900405,2013,onset_1,111,39.0792796,-79.4690605
