RouteNumber,year,first
210302,1997.0,52
210702,1997.0,52
250304,1997.0,35
250406,1997.0,35
350116,1997.0,52
350116,1997.0,52
350116,1997.0,52
350511,1997.0,60
350511,1997.0,60
350610,1997.0,60
350814,1997.0,52
360219,1997.0,81
360416,1997.0,81
360417,1997.0,80
360511,1997.0,87
360511,1997.0,87
440109,1997.0,125
440113,1997.0,119
440209,1997.0,130
440315,1997.0,117
440415,1997.0,114
440508,1997.0,141
440516,1997.0,119
460107,1997.0,53
460107,1997.0,53
460107,1997.0,53
460307,1997.0,53
460405,1997.0,55
460501,1997.0,61
460508,1997.0,51
460508,1997.0,51
460604,1997.0,58
460703,1997.0,58
460703,1997.0,58
460703,1997.0,58
460704,1997.0,58
460706,1997.0,53
470403,1997.0,89
470503,1997.0,85
500132,1997.0,110
500133,1997.0,108
500135,1997.0,94
500180,1997.0,94
500180,1997.0,94
500215,1997.0,117
500235,1997.0,94
500271,1997.0,117
500271,1997.0,117
500332,1997.0,111
500413,1997.0,114
500422,1997.0,111
500429,1997.0,95
500541,1997.0,93
500635,1997.0,94
500729,1997.0,105
500822,1997.0,115
500834,1997.0,95
501434,1997.0,95
520118,1997.0,55
580107,1997.0,103
580107,1997.0,103
580203,1997.0,133
580304,1997.0,116
580304,1997.0,116
580805,1997.0,106
590605,1997.0,58
591005,1997.0,59
591805,1997.0,59
591905,1997.0,58
592105,1997.0,58
592305,1997.0,61
610323,1997.0,87
610323,1997.0,87
610422,1997.0,88
610523,1997.0,85
610620,1997.0,94
610723,1997.0,81
610822,1997.0,88
610823,1997.0,85
610823,1997.0,85
610823,1997.0,85
610920,1997.0,88
610920,1997.0,88
611122,1997.0,95
630110,1997.0,52
630210,1997.0,53
630211,1997.0,58
630224,1997.0,36
630224,1997.0,36
630323,1997.0,36
630510,1997.0,52
630810,1997.0,52
630923,1997.0,36
720111,1997.0,69
720214,1997.0,61
800107,1997.0,36
800407,1997.0,36
800507,1997.0,36
820403,1997.0,50
880104,1997.0,58
880110,1997.0,58
880319,1997.0,58
880417,1997.0,52
880417,1997.0,52
880417,1997.0,52
880504,1997.0,59
881113,1997.0,50
881404,1997.0,58
881404,1997.0,58
881604,1997.0,59
900405,1997.0,63
210302,1998.0,51
210702,1998.0,50
250304,1998.0,38
250406,1998.0,36
350116,1998.0,54
350116,1998.0,54
350116,1998.0,54
350511,1998.0,58
350511,1998.0,58
350610,1998.0,58
350814,1998.0,51
360219,1998.0,85
360416,1998.0,85
360417,1998.0,85
360511,1998.0,86
360511,1998.0,86
440109,1998.0,107
440113,1998.0,103
440209,1998.0,108
440315,1998.0,91
440415,1998.0,96
440508,1998.0,120
440516,1998.0,97
460107,1998.0,53
460107,1998.0,53
460107,1998.0,53
460307,1998.0,51
460405,1998.0,55
460501,1998.0,87
460508,1998.0,50
460508,1998.0,50
460604,1998.0,59
460703,1998.0,60
460703,1998.0,60
460703,1998.0,60
460704,1998.0,61
460706,1998.0,53
470403,1998.0,88
470503,1998.0,87
500132,1998.0,88
500133,1998.0,88
500135,1998.0,87
500180,1998.0,88
500180,1998.0,88
500215,1998.0,102
500235,1998.0,87
500271,1998.0,101
500271,1998.0,101
500332,1998.0,94
500413,1998.0,97
500422,1998.0,98
500429,1998.0,89
500541,1998.0,87
500635,1998.0,87
500729,1998.0,93
500822,1998.0,101
500834,1998.0,88
501434,1998.0,89
520118,1998.0,54
580107,1998.0,89
580107,1998.0,89
580203,1998.0,104
580304,1998.0,90
580304,1998.0,90
580805,1998.0,89
590605,1998.0,59
591005,1998.0,61
591805,1998.0,61
591905,1998.0,59
592105,1998.0,58
592305,1998.0,68
610323,1998.0,87
610323,1998.0,87
610422,1998.0,88
610523,1998.0,87
610620,1998.0,88
610723,1998.0,86
610822,1998.0,88
610823,1998.0,86
610823,1998.0,86
610823,1998.0,86
610920,1998.0,88
610920,1998.0,88
611122,1998.0,89
630110,1998.0,65
630210,1998.0,66
630211,1998.0,78
630224,1998.0,41
630224,1998.0,41
630323,1998.0,42
630510,1998.0,59
630810,1998.0,60
630923,1998.0,42
720111,1998.0,85
720214,1998.0,69
800107,1998.0,44
800407,1998.0,43
800507,1998.0,44
820403,1998.0,48
880104,1998.0,68
880110,1998.0,67
880319,1998.0,67
880417,1998.0,60
880417,1998.0,60
880417,1998.0,60
880504,1998.0,83
881113,1998.0,49
881404,1998.0,78
881404,1998.0,78
881604,1998.0,78
900405,1998.0,88
210302,1999.0,43
210702,1999.0,43
250304,1999.0,35
250406,1999.0,35
350116,1999.0,42
350116,1999.0,42
350116,1999.0,42
350511,1999.0,76
350511,1999.0,76
350610,1999.0,76
