system:time_start,predicted_dfc
"Feb 1, 1950",107
"Feb 1, 1951",96
"Feb 1, 1952",97
"Feb 1, 1953",84
"Feb 1, 1954",88
"Feb 1, 1955",97
"Feb 1, 1956",120
"Feb 1, 1957",91
"Feb 1, 1958",107
"Feb 1, 1959",98
"Feb 1, 1960",103
"Feb 1, 1961",110
"Feb 1, 1962",98
"Feb 1, 1963",94
"Feb 1, 1964",104
"Feb 1, 1965",110
"Feb 1, 1966",105
"Feb 1, 1967",104
"Feb 1, 1968",89
"Feb 1, 1969",100
"Feb 1, 1970",112
"Feb 1, 1971",111
"Feb 1, 1972",110
"Feb 1, 1973",75
"Feb 1, 1974",94
"Feb 1, 1975",108
"Feb 1, 1976",80
"Feb 1, 1977",74
"Feb 1, 1978",101
"Feb 1, 1979",83
"Feb 1, 1980",98
"Feb 1, 1981",55
"Feb 1, 1982",106
"Feb 1, 1983",95
"Feb 1, 1984",97
"Feb 1, 1985",87
"Feb 1, 1986",89
"Feb 1, 1987",88
"Feb 1, 1988",90
"Feb 1, 1989",87
"Feb 1, 1990",73
"Feb 1, 1991",78
"Feb 1, 1992",100
"Feb 1, 1993",100
"Feb 1, 1994",100
"Feb 1, 1995",80
"Feb 1, 1996",93
"Feb 1, 1997",87
"Feb 1, 1998",87
"Feb 1, 1999",92
"Feb 1, 2000",82
"Feb 1, 2001",103
"Feb 1, 2002",74
"Feb 1, 2003",86
"Feb 1, 2004",88
"Feb 1, 2005",97
"Feb 1, 2006",86
"Feb 1, 2007",91
"Feb 1, 2008",98
"Feb 1, 2009",87
"Feb 1, 2010",80
"Feb 1, 2011",94
"Feb 1, 2012",74
"Feb 1, 2013",100
"Feb 1, 2014",101
"Feb 1, 2015",103
"Feb 1, 2016",70
"Feb 1, 2017",61
"Feb 1, 2018",90
"Feb 1, 2019",96
"Feb 1, 2020",78
"Feb 1, 2021",85
"Feb 1, 2022",77
"Feb 1, 2023",86
"Feb 1, 2024",70
"Feb 1, 2025",78
