RouteNumber,SurveyYear,intensity,onset_DOY,lat,lon
210302,2001,onset_1,159,38.61796666,-75.42016664
210302,2001,onset_2,159,38.61796666,-75.42016664
210302,2001,onset_3,159,38.61796666,-75.42016664
210302,2006,onset_3,89,38.61796666,-75.42016664
210702,2010,onset_1,153,38.63929997,-75.26979996
210801,2009,onset_3,92,39.74688329,-75.69796665
210801,2012,onset_2,132,39.74688329,-75.69796665
210801,2012,onset_3,81,39.74688329,-75.69796665
210801,2013,onset_2,129,39.74688329,-75.69796665
211101,2012,onset_3,124,39.65516663,-75.69578329
211101,2014,onset_3,133,39.65516663,-75.69578329
250102,2005,onset_3,87,30.6293827,-86.7697178
250104,2013,onset_2,105,30.3501218,-84.3719359
250104,2013,onset_3,59,30.3501218,-84.3719359
250304,2011,onset_1,107,30.6178889,-83.96727779
250406,2012,onset_1,27,30.337186863636365,-82.59244444545455
350105,2006,onset_3,87,40.3337196,-87.3373587
350116,2012,onset_1,72,38.41756536363636,-85.82542563636363
350116,2012,onset_2,72,38.41756536363636,-85.82542563636363
350116,2012,onset_3,72,38.41756536363636,-85.82542563636363
350116,2013,onset_1,95,38.41756536363636,-85.82542563636363
350116,2013,onset_2,95,38.41756536363636,-85.82542563636363
350116,2013,onset_3,95,38.41756536363636,-85.82542563636363
350116,2014,onset_1,90,38.41756536363636,-85.82542563636363
350116,2014,onset_2,90,38.41756536363636,-85.82542563636363
350116,2014,onset_3,90,38.41756536363636,-85.82542563636363
350214,2009,onset_2,86,38.1469704,-87.29877189999999
350214,2009,onset_3,86,38.1469704,-87.29877189999999
350406,2010,onset_3,86,40.57692881,-86.89342606
350511,2009,onset_1,107,39.9253503,-85.67635626363636
350511,2010,onset_2,77,39.9253503,-85.67635626363636
350511,2010,onset_3,77,39.9253503,-85.67635626363636
350511,2012,onset_1,91,39.9253503,-85.67635626363636
350511,2012,onset_2,91,39.9253503,-85.67635626363636
350511,2012,onset_3,91,39.9253503,-85.67635626363636
350511,2015,onset_2,92,39.9253503,-85.67635626363636
350511,2015,onset_3,92,39.9253503,-85.67635626363636
350515,2009,onset_3,134,38.82664842857143,-86.29508635714285
350610,2015,onset_1,123,40.093305,-86.07524
350610,2015,onset_2,123,40.093305,-86.07524
350610,2015,onset_3,123,40.093305,-86.07524
350706,2009,onset_2,108,40.115552835,-86.36695295
350706,2015,onset_3,95,40.115552835,-86.36695295
350814,2012,onset_1,77,38.36154682,-87.42202211
360125,2015,onset_3,137,40.633586,-91.624883
360219,2015,onset_1,128,41.422594000000004,-91.826787
360219,2015,onset_2,128,41.422594000000004,-91.826787
