RouteNumber,year,first
210302,2006.0,48
210702,2006.0,48
250304,2006.0,37
250406,2006.0,36
350116,2006.0,60
350116,2006.0,60
350116,2006.0,60
350511,2006.0,71
350511,2006.0,71
350610,2006.0,71
350814,2006.0,60
360219,2006.0,90
360416,2006.0,90
360417,2006.0,89
360511,2006.0,95
360511,2006.0,95
440109,2006.0,104
440113,2006.0,92
440209,2006.0,104
440315,2006.0,97
440415,2006.0,93
440508,2006.0,120
440516,2006.0,92
460107,2006.0,54
460107,2006.0,54
460107,2006.0,54
460307,2006.0,47
460405,2006.0,68
460501,2006.0,88
460508,2006.0,48
460508,2006.0,48
460604,2006.0,69
460703,2006.0,69
460703,2006.0,69
460703,2006.0,69
460704,2006.0,69
460706,2006.0,55
470403,2006.0,88
470503,2006.0,82
500132,2006.0,99
500133,2006.0,99
500135,2006.0,99
500180,2006.0,96
500180,2006.0,96
500215,2006.0,101
500235,2006.0,100
500271,2006.0,103
500271,2006.0,103
500332,2006.0,100
500413,2006.0,102
500422,2006.0,100
500429,2006.0,99
500541,2006.0,97
500635,2006.0,99
500729,2006.0,99
500822,2006.0,101
500834,2006.0,99
501434,2006.0,99
520118,2006.0,58
580107,2006.0,91
580107,2006.0,91
580203,2006.0,104
580304,2006.0,102
580304,2006.0,102
580805,2006.0,91
590605,2006.0,69
591005,2006.0,70
591805,2006.0,70
591905,2006.0,69
592105,2006.0,69
592305,2006.0,70
610323,2006.0,72
610323,2006.0,72
610422,2006.0,72
610523,2006.0,71
610620,2006.0,87
610723,2006.0,71
610822,2006.0,72
610823,2006.0,72
610823,2006.0,72
610823,2006.0,72
610920,2006.0,86
610920,2006.0,86
611122,2006.0,73
630110,2006.0,61
630210,2006.0,60
630211,2006.0,67
630224,2006.0,46
630224,2006.0,46
630323,2006.0,43
630510,2006.0,60
630810,2006.0,59
630923,2006.0,43
720111,2006.0,72
720214,2006.0,72
800107,2006.0,48
800407,2006.0,47
800507,2006.0,48
820403,2006.0,56
880104,2006.0,65
880110,2006.0,61
880319,2006.0,67
880417,2006.0,68
880417,2006.0,68
880417,2006.0,68
880504,2006.0,69
881113,2006.0,48
881404,2006.0,69
881404,2006.0,69
881604,2006.0,67
900405,2006.0,90
210302,2007.0,71
