State,RunID,SurveyYear,RouteNumber,RouteType,RunNumber,SurveyDate,StartTime,EndTime,StartWind,EndWind,StartSky,EndSky,TempScale,DaysSinceRain,ObserverTrackingID,DateCreated,DateLastUpdated, QuizScore,UnifiedProtocol
Mississippi,136,2001,510503,RO,1,3/12/2001, 20:26,21:56,1,1,0,0,F,0,130,3/21/2001,3/21/2001,NULL,1
Delaware,137,2001,211101,RA,1,4/5/2001, 20:03,22:23,1,2,0,0,C,5,151,4/6/2001,4/6/2001,NULL,1
Maryland,138,2001,460503,RO,1,4/6/2001, 20:00,21:35,1,1,2,2,C,0,125,4/8/2001,4/8/2001,NULL,1
Maryland,139,2001,460203,RO,1,3/30/2001, 19:00,20:35,2,2,2,2,C,NULL,125,4/8/2001,4/8/2001,NULL,1
Maryland,141,2001,460704,RA,1,3/22/2001, 20:00,21:16,3,3,1,2,C,1,356,4/8/2001,4/8/2001,NULL,1
Maryland,142,2001,460708,RA,1,3/31/2001, 20:45,22:10,1,1,0,0,F,0,360,4/8/2001,4/8/2001,NULL,1
Maryland,143,2001,460505,RO,1,4/1/2001, 18:55,20:43,3,3,2,2,F,1,333,4/8/2001,4/8/2001,NULL,1
Delaware,145,2001,211102,RA,1,4/5/2001, 20:10,21:42,0,1,0,0,C,3,1803,4/8/2001,5/26/2002,NULL,1
Louisiana,146,2001,420211,RO,1,1/17/2001, 18:55,20:22,2,1,4,4,C,0,122,4/9/2001,4/9/2001,NULL,1
Louisiana,147,2001,420211,RO,2,3/12/2001, 18:52,20:15,1,1,0,0,C,0,122,4/9/2001,4/9/2001,NULL,1
Louisiana,148,2001,420311,RO,2,3/4/2001, 21:20,22:55,2,3,0,0,C,1,313,4/10/2001,4/10/2001,NULL,1
Louisiana,149,2001,420316,RO,1,1/27/2001, 19:35,20:55,0,0,0,0,C,5,313,4/10/2001,4/10/2001,NULL,1
Louisiana,150,2001,420316,RO,2,3/4/2001, 19:30,20:45,1,1,0,0,C,1,313,4/10/2001,4/10/2001,NULL,1
Louisiana,151,2001,420310,RO,1,1/23/2001, 19:10,21:00,1,1,1,1,C,1,317,4/10/2001,4/10/2001,NULL,1
Louisiana,152,2001,420411,RO,1,1/25/2001, 19:10,21:05,1,1,2,1,C,4,317,4/10/2001,4/10/2001,NULL,1
